CODE;day;night
0BCIM;26;126
0BCIN;26;126
0BCIS;26;126
0BCIV;26;126
0BCIW;26;126
0BNWM;3;103
0BNWN;3;103
0BNWS;3;103
0BNWV;3;103
0BNWW;3;103
0BRAM;9;109
0BRAN;3;103
0BRAS;33;133
0BRAV;4;104
0BRAW;6;106
0BRSM;10;110
0BRSN;3;103
0BRSS;10;110
0BRSV;4;104
0BRSW;7;107
0BSNM;11;111
0BSNN;3;103
0BSNS;34;134
0BSNV;4;104
0BSNW;8;108
0BTNM;39;139
0BTNN;41;141
0BTNS;39;139
0BTNV;41;141
0BTNW;39;139
0BTSM;13;113
0BTSN;41;141
0BTSS;38;138
0BTSV;41;141
0BTSW;13;113
0FCIM;26;126
0FCIN;26;126
0FCIS;26;126
0FCIV;26;126
0FCIW;26;126
0FNWM;2;102
0FNWN;2;102
0FNWS;2;102
0FNWV;2;102
0FNWW;2;102
0FRAM;32;132
0FRAN;2;102
0FRAS;33;133
0FRAV;3;103
0FRAW;29;129
0FRSM;7;107
0FRSN;2;102
0FRSS;10;110
0FRSV;3;103
0FRSW;31;131
0FSNM;11;111
0FSNN;2;102
0FSNS;34;134
0FSNV;3;103
0FSNW;30;130
0FTNM;39;139
0FTNN;12;112
0FTNS;39;139
0FTNV;12;112
0FTNW;37;137
0FTSM;13;113
0FTSN;12;112
0FTSS;38;138
0FTSV;12;112
0FTSW;36;136
0KCIM;1;101
0KCIN;1;101
0KCIS;1;101
0KCIV;1;101
0KCIW;1;101
0KNWM;1;101
0KNWN;1;101
0KNWS;1;101
0KNWV;1;101
0KNWW;1;101
0KRAM;32;132
0KRAN;1;101
0KRAS;33;133
0KRAV;2;102
0KRAW;29;129
0KRSM;31;131
0KRSN;1;101
0KRSS;7;107
0KRSV;2;102
0KRSW;31;131
0KSNM;11;111
0KSNN;1;101
0KSNS;11;111
0KSNV;2;102
0KSNW;30;130
0KTNM;39;139
0KTNN;12;112
0KTNS;39;139
0KTNV;12;112
0KTNW;37;137
0KTSM;13;113
0KTSN;12;112
0KTSS;38;138
0KTSV;12;112
0KTSW;36;136
0OCIM;26;126
0OCIN;26;126
0OCIS;26;126
0OCIV;26;126
0OCIW;26;126
0ONWM;35;135
0ONWN;35;135
0ONWS;35;135
0ONWV;35;135
0ONWW;35;135
0ORAM;17;117
0ORAN;35;135
0ORAS;20;120
0ORAV;5;105
0ORAW;14;114
0ORSM;18;118
0ORSN;35;135
0ORSS;21;121
0ORSV;5;105
0ORSW;15;115
0OSNM;19;119
0OSNN;35;135
0OSNS;22;122
0OSNV;5;105
0OSNW;16;116
0OTNM;42;142
0OTNN;40;140
0OTNS;42;142
0OTNV;40;140
0OTNW;42;142
0OTSM;24;124
0OTSN;40;140
0OTSS;25;125
0OTSV;40;140
0OTSW;23;123
0SCIM;26;126
0SCIN;26;126
0SCIS;26;126
0SCIV;26;126
0SCIW;26;126
0SNWM;3;103
0SNWN;3;103
0SNWS;3;103
0SNWV;3;103
0SNWW;3;103
0SRAM;32;132
0SRAN;3;103
0SRAS;33;133
0SRAV;3;103
0SRAW;29;129
0SRSM;7;107
0SRSN;3;103
0SRSS;10;110
0SRSV;3;103
0SRSW;31;131
0SSNM;11;111
0SSNN;3;103
0SSNS;34;134
0SSNV;3;103
0SSNW;30;130
0STNM;39;139
0STNN;12;112
0STNS;39;139
0STNV;12;112
0STNW;37;137
0STSM;13;113
0STSN;12;112
0STSS;38;138
0STSV;12;112
0STSW;36;136
2BCIM;28;128
2BCIN;28;128
2BCIS;28;128
2BCIV;28;128
2BCIW;28;128
2BNWM;28;128
2BNWN;28;128
2BNWS;28;128
2BNWV;28;128
2BNWW;28;128
2BRAM;9;109
2BRAN;28;128
2BRAS;33;133
2BRAV;4;104
2BRAW;6;106
2BRSM;10;110
2BRSN;28;128
2BRSS;10;110
2BRSV;4;104
2BRSW;7;107
2BSNM;11;111
2BSNN;28;128
2BSNS;34;134
2BSNV;4;104
2BSNW;8;108
2BTNM;39;139
2BTNN;41;141
2BTNS;39;139
2BTNV;41;141
2BTNW;39;139
2BTSM;13;113
2BTSN;41;141
