Index,PintoBeans_Kc,PintoBeans_RD,TomatoCambodia_Kc,TomatoCambodia_RD,CucumberCambodiaSeeded_Kc,CucumberCambodiaSeeded_RD,CucumberCambodiaTranspl_Kc,CucumberCambodiaTranspl_RD,WinterWheat_Kc,WinterWheat_RD,WinterWheatUzbekistan_Kc,WinterWheatUzbekistan_RD,WinterWheatUzbKenjabaev_Kc,WinterWheatUzbKenjabaev_RD,Cotton_Kc,Cotton_RD,Potato_Kc,Potato_RD,DryRice_Kc,DryRice_RD,Potato115dFAO_Kc,Potato115dFAO_RD,Potato115dKadam_Kc,Potato115dKadam_RD,Cotton180dFAO_Kc,Cotton180dFAO_RD,Cotton180dKenjabaev_Kc,Cotton180dKenjabaev_RD,PanicumFrg60d_Kc,PanicumFrg60d_RD,Artemis95d_Kc,Artemis95d_RD
1,0.4,0.15,0.25,0.25,0.1,0.05,0.1,0.135714286,0.4,0.1,0.7,0.1,0.396783954,0.1,0.35,0.1,0.5,0.2,0.9,0.1,0.5,0.2,0.385951326,0.114777233,0.35,0.1,0.300693988,0.1,0.4,0.1,0.45,0.1
2,0.4,0.165306122,0.25,0.265306122,0.1,0.064285714,0.1,0.15,0.4,0.105656934,0.7,0.105656934,0.383966771,0.105656934,0.35,0.106443299,0.5,0.2043,0.9,0.110169492,0.5,0.203508772,0.397074944,0.129117733,0.35,0.10698324,0.282323512,0.108938547,0.4,0.125510204,0.45,0.106756757
3,0.4,0.180612245,0.25,0.280612245,0.1,0.078571429,0.1,0.164285714,0.4,0.111313869,0.7,0.111313869,0.371544883,0.111313869,0.35,0.112886598,0.5,0.2086,0.9,0.120338983,0.5,0.207017544,0.408648989,0.143034407,0.35,0.11396648,0.264876574,0.117877095,0.4,0.151020408,0.45,0.113513514
4,0.4,0.195918367,0.25,0.295918367,0.1,0.092857143,0.1,0.178571429,0.4,0.116970803,0.7,0.116970803,0.359514722,0.116970803,0.35,0.119329897,0.5,0.2129,0.9,0.130508475,0.5,0.210526316,0.420651854,0.156539782,0.35,0.120949721,0.24834118,0.126815642,0.4,0.176530612,0.45,0.12027027
5,0.4,0.21122449,0.25,0.31122449,0.1,0.107142857,0.1,0.192857143,0.4,0.122627737,0.7,0.122627737,0.347872721,0.122627737,0.35,0.125773196,0.5,0.2172,0.9,0.140677966,0.5,0.214035088,0.433062188,0.169646012,0.35,0.127932961,0.232705333,0.13575419,0.4,0.202040816,0.45,0.127027027
6,0.4,0.226530612,0.25,0.326530612,0.1,0.121428571,0.1,0.207142857,0.4,0.128284672,0.7,0.128284672,0.336615313,0.128284672,0.35,0.132216495,0.5,0.2215,0.9,0.150847458,0.5,0.21754386,0.445858894,0.182364894,0.35,0.134916201,0.217957037,0.144692737,0.4,0.22755102,0.45,0.133783784
7,0.4,0.241836735,0.25,0.341836735,0.1,0.135714286,0.1,0.221428571,0.4,0.133941606,0.7,0.133941606,0.325738928,0.133941606,0.35,0.138659794,0.5,0.2258,0.9,0.161016949,0.5,0.221052632,0.459021126,0.194707877,0.35,0.141899441,0.204084297,0.153631285,0.4,0.253061224,0.45,0.140540541
8,0.4,0.257142857,0.25,0.357142857,0.1,0.15,0.1,0.235714286,0.4,0.13959854,0.7,0.13959854,0.31524,0.13959854,0.35,0.145103093,0.5,0.2301,0.9,0.171186441,0.5,0.224561404,0.472528284,0.206686069,0.35,0.148882682,0.191075117,0.162569832,0.4,0.278571429,0.45,0.147297297
9,0.4,0.27244898,0.25,0.37244898,0.1,0.164285714,0.1,0.25,0.4,0.145255474,0.7,0.145255474,0.305114961,0.145255474,0.35,0.151546392,0.5,0.2344,0.9,0.181355932,0.5,0.228070175,0.486360014,0.218310253,0.35,0.155865922,0.1789175,0.17150838,0.4,0.304081633,0.45,0.154054054
10,0.4,0.287755102,0.25,0.387755102,0.1,0.178571429,0.1,0.25,0.4,0.150912409,0.7,0.150912409,0.295360243,0.150912409,0.35,0.157989691,0.5,0.2387,0.9,0.191525424,0.5,0.231578947,0.500496205,0.22959089,0.35,0.162849162,0.167599451,0.180446927,0.4,0.329591837,0.45,0.160810811
